titulo,texto
chip não funciona,"Perdi o celular e precisei cancelar o numero do telefone, porém no dia seguinte fui até uma loja da operadora, comprei um novo chip e pedi que fosse reativado o numero anterior, todavia o chip não funcionou em nenhum aparelho. Coloquei, recoloquei, desliguei porém nenhum dos passos indicados no site teve resultado. Liguei na central, a mesma me informou que o numero ja estava ativo, no entanto ate o momento não funciona, pois os aparelhos não conseguem identificar o chip."
Internet ruim,"Contratei 120 mega, porém não chega aqui em minha residência nem a metade do pacote contratado, já liguei várias vezes reclamando e até agora ninguém resolveu meu problema, e ainda estou sendo cobrada do valor integral sem nenhum desconto sendo que eu não estou recebendo os megas contratados"
Claro sem sistema,"ESTOU A 15 DIAS SEM TELEFONE DA OPERADORA Claro Brasil... SIMPLESMENTE PORQUE O CHIP RESOLVEU PARAR DE FUNCIONAR, E COMO ESTA EM UM PACOTE DA NET, LIGUEI LA E DIZEM QUE PRECISO IR EM UMA LOJA DA CLARO E COMPRAR UM CHIP NOVO, JA FUI 3 VEZES NA LOJA CLARO DO SHOPPING CANTAREIRA, E TODA VEZ DIZEM QUE ESTA SEM SISTEMA. (EU SO PRECISO COMPRAR UM CHIP DE 10,00 PRA VOLTAR A USAR MEU TELEFONE)... HOJE QUANDO CHEGUEI NA LOJA, A PRIMEIRA PERGUNTA QUE EU FIZ FOI ""TEM SISTEMA???"" E O FUNCIONARIO RESPONDEU ""PRA QUE SERIA??"" E TINHA GENTE SENTADA COMPRANDO PACOTE.. ENTÃO, PRA VENDER CELULAR E PACOTES, TEM SISTEMA, PRA ARRUMAR UM PROBLEMA DE QUEM JA É CLIENTE, QUE VAI GASTAR APENAS 10,00 COM UM NOVO CHIP... SEM SISTEMA.
#CLARO #clarobrasil #shoppingcantareira Claro Brasil #semsistema"
Cobrança indevida,"Tenho número com a claro, no qual quero reduzir o plano, sempre desligam a ligação quando falo que quero passar para cartão o plano controle, e agora estão me cobrando um valor absurdo que não existe, ligo pra eles e desligam quando chega no atendente."
Cobrança triplicada do mesmo valor,"No dia 15/10/2020 efetuamos o pagamento do boleto do combo pelo aplicativo de celular. Acontece que neste mesmo dia o valor foi debitado duas vezes e no dia seguinte foi debitado pela 3 vez o mesmo valor. No dia 20/10/2020 liguei para a central e informei o ocorrido. A atendente me informou que eu teria duas opções: deixar como crédito ou extorno do valor excedente. Solicitei então o estorno do valor cobrado a mais (R$ 846,44) para a conta do meu marido pois não tenho conta em banco (sou a titular do plano). No dia 26/10/2020 liguei novamente para central informando q o valor ainda não tinha sido extornado e a atendente informou que seria depositado no dia 03/11/2020 mas que poderia haver divergência pois a atendente anterior colocou os dados bancários do meu marido mas em meu nome e ela não poderia fazer a correção por estar em aberto ainda.
No dia 30/10/2020 as 20:00 recebi uma ligação em meu celular de alguém se identificando da Claro, que o depósito tinha voltado por divergência de informações e queria que eu informasse dados para confirmar o depósito. Como fiquei preocupada em ser trote, informei que eu iria ligar para a Central e dar as informações necessárias. Quando liguei para a Central o atendente disse que o valor a ser extornado não seria mais o mesmo porque eles já tinham descontado o valor da fatura que vai vencer no dia 15/11/2020. Como não autorizei a ficar como crédito, contestei essa decisão. E no final a atendente disse então que seria extornado o valor integral. O que não foi feito até o momento
Conclusão: tive que abrir uma conta no meu nome para tentar receber o valor devido e ainda não será o integral pq novamente já descontaram um valor que só vai vencer daqui a 5 dias!!
Absurdo!! Estou me sentindo [Editado pelo Reclame Aqui] e enrolada por essa empresa que cada hora dá uma informação diferente e não me pagam. Tenho todos os protocolos anotados"
Cobrança indevida,"No mês 09/2020 fiz portabilidade do meu celular para operadora Tim, fiquei com os serviços da claro funcionando até o dia 10/10/20, qdo fiquei sem sinal liguei no 1052 de outro celular, pq qdo vc não é mais assinante da operado vc não consegue contato pelo APP (CPF) não é reconhecido e o número do celular TB. Como ficou funcionando até o dia 10/10 achei justo a cobrança da fatura do dia 20/10 no valor de 67,99. Agora recebi outra fatura pra pág em 20/11 que não é devida e não tenho canal pra me comunicar 10621 falou pra ligar no 1052 , o 1052 não reconhece meu celular bem meu CPF agora gerar boleto eu existo. Liguei novamente 10621 a atendente falou que tive sinal até 10/11 mentira meu telefone foi cortado em 10/10. Agora ninguém fala comigo. Se tiver alguma cobrança o justo é do dia 03/10 a 10/10 dia do corte ,08 dias.Fico no aguardo de solução."
Problema na ativação do chip pré-pago,"Adquiri um chip pré pago e não consigo ativá-lo, número 11-94595-4133. Tentei o acesso ao site ""Minha Claro Móvel"" e só apresenta a mensagem: ""Ocorreu uma falha técnica não esperada"". Liguei no 1052 e fico em uma fila de espera de 40 minutos... aí a ligação cai. Protocolos: 2020953316153 e 2020953661176. Não consigo ser atendido por qualquer canal e minha compra do chip até o momento não funcionou."
Cobrança Indevida Pós Portabilidade,"No Dia 17/07/2020, realizei a portabilidade do meu número (11) 970190865 até então Claro para a Vivo. No qual foi protocolado o cancelamento através do número 2020615349093 e confirmado por e-mail no dia 20/07/2020 às 14h31.

Para minha surpresa recebi ligações de cobrança da Claro NET e na sequencia uma fatura por e-mail no valor de R$579,07 contemplando débito de julho/20 à outubro/20 cujo número associado a conta em meu CPF é o (11)945274941, que NUNCA me pertenceu. Desde então solicito um retorno por e-mail e entro em contato com o canal #1052 porém dizem que não conseguem me ajudar.
Diante deste fato solicito de imediato a exclusão do CPF atrelado a esse número que desconheço e cancelamento da cobrança em meu nome."
João Felipe dos Santos de Moura Fé,"Entrei em contato no dia 07/11/2020 relatando um número grande de desconexões em pequenos períodos de tempo, o atendente me informou que realmente no relatório deles tinha algumas desconexões e iria realizar alguns procedimentos para verificar se normalizasse, e caso isso não ocorresse para contatar novamente, informou também a possibilidade de um aquecimento no modem e por isso estava reiniciando sem que houvesse interferência humana. Hoje no dia 09/11/2020 relatei mais 2 desconexões no dia de ontem (08/11/2020) por volta de 00h e outra no dia de hoje por volta de 01h, informei ao novo atendente sobre o caso e que o atendente anterior me informou que caso ocorresse novamente, solicitar a troca do equipamento.
Ao entrar em contato hoje, fui informado que para a troca do equipamento tem uma taxa de R$90,00 mesmo o equipamento não estando funcionando perfeitamente, informei também que trabalho com suporte técnico de TI e essa quantidade de desconexões NÃO É COMUM.
Preciso de um retorno pois novamente informo, não é comum uma quantidade de desconexões sem interferência humana ou problema na tomada ou algo do tipo"
Linha Suspensa,"Boa noite,

Dia 27/10/2020 a Claro suspendeu minha linha, liguei para a central e me orientaram a ir em uma loja, fui no dia seguinte e abri o protocolo 2020917753901 e me deram prazo de 5 dias uteis, esperei e até agora nada, são inúmeros contatos, inúmeros protocolos e idas a loja. A Claro simplesmente desdenha da situação, atendentes dizem que tenho que esperar, sendo que preciso do celular ativo para trabalhar. Nunca vi tamanha irresponsabilidade em um atendimento"
Cobrança indevida,"ja estou ha 30 minutos em ligação e ainda nao fui atendida, minha fatura esta vindo com valor a mais sendo que meu pacote são: net virtua+ serviços moveis, e veio me cobrando a net now, sem a minha autorização sendo que eu nao preciso desse pacote, é muita desfeita e desrespeito com o consumidor, não foi com a minha tinha titularidade essa autorização, até quando vamos ter que ficar sofrendo com desgaste emocional, 30 minutos em linha e a atende passou para outra que passa para outra e no final alegou que não é no numero que liguei que irá resolver, caso nao resolvam por esse meio, fiquem ciente que será aberto uma ação judicial."
Negativação indevida,"Vi meu nome no Serasa por uma dívida a qual não reconheço da claro em meu nome.
Fui até uma claro de minha cidade se informar da dívida e disseram que não constava nenhuma divida em meu cpf na claro. E então paguei o boleto pra poder levar ao Procon para receber o extorno do valor pago.
Uma divida de 249 e foi pago
74 reais e até agora não tiraram meu nome do serasa.
Gostaria de um retorno pois isso está sendo uma enrolação ja."
Valor abusivo e não informado previamente,"Solicitei a troca do controle remoto da tv. Sou casado e vivemos apenas eu e minha esposa. Ficamos no dia inteiro na rua trabalhando. Tínhamos estado com o mesmo controle por mais de 1 ano sem solicitar troca. Um dia o mesmo começou a apresentar problemas no volume, assim solicitei a troca. Primeiramente tentei efetuar o agendamento por Wpp e depois pelo aplicativo, consegui pelo aplicativo.
Durante o agendamento não houve qualquer menção à cobrança de qualquer taxa. O técnico ao chegar foi perguntado sobre tal possibilidade e foi solicitado que o mesmo avaliasse o controle para que não restasse dúvidas de que o problema não foi oriundo de mau uso. O técnico disse exatamente o seguinte este tipo de serviço não é cobrado, faço isso todo dia, pode acreditar. Ao telefone o responsável pelo setor Matheus, afirmou que a taxa é atribuída pelo técnico. Ou seja, qualquer valor que o técnico desejar atribuir será acatado pela empresa sem que o cliente seja previamente solicitado em termos de condições de tal pagamento. A cobrança de 50,00 de transporte além de ser abusiva não foi combinada previamente comigo. A pandemia fez diminuir radicalmente meu expediente de trabalho, sou professor particular, e arcar com 40% do valor de minha fatura sem nem ter tido a chance de escolher se eu seria capaz de arcar ou não é realmente abusivo.
Desta forma, gostaria de solicitar a retirada desta taxa adicional abusiva."
COBRANÇA INDEVIDA,"Eu cancelei o meu plano em 12/05/2020, paguei o ultimo boleto com a multa por quebra de contrato, como manda a lei. Tudo certinho. Hoje eu entro no serasa consumidor e descubro que a claro está me cobrando o valor de R$: 96,39 referente a uma conta de fevereiro de 2020 que eu nem sei do que se trata, visto que cancelei meu plano e saí dele sem nenhum débito com a empresa. Tentei atendimento agora pelo chat disponível através do minha claro e o atendente me mandou 6 mensagens para ""aguaradar um momento"" e depois me disse que está sem sistema e falou para eu tentar novamente em 4 horas. Quero deixar claro que se este problema não for solucionado em 24 horas acionarei minha advogada e entraremos com um pedido de cobrança indevida e danos morais no pequenas causas."
Colocaram meu nome no Serasa com Débitos Falsos que não existem,"Sou cliente claro pós pago, todas faturas em dia, porém veio um aviso do Serasa consumidor me informou que estou com restrição no nome de duas dívidas uma de 2005 e outra 2019 anos que nunca tive qualquer vínculo com essa empresa, fiz um plano pós pago agora em 2020 e todas minhas faturas estão em dia, esse registro servira de prova para processar a Claro pois essa inclusão no Serasa derrubou meu score que era 900 e atrapalhou outros planos que tinha em mente, quero que retirem essa restrição pra ontem, e mesmo assim vou acionar judicialmente por negligencia, isso é inadmissível sujar o nome de alguém erroneamente."
Prezão propaganda enganosa,"Realizei a compra de um chip pré da claro pelo site. Coloquei meu cep e endereço de residência em SC e solicitei o chip com código 047. Ao receber o chip foi uma demora para fazer o cadastro. Na conclusão ele registrou código 054. No papel que vem junto ao chip tem a seguinte mensagem "" Após o cadastro, se precisar trocar seu DDD ligue 1052. Então começou a saga de ligações. Em duas situações de atendimento pelo canal atendentes me falaram que era preciso aguardar 8 dias para esta solicitação. Ao ligar novamente no final dos 8 dias ( estratégica para não ter que devolver o dinheiro??? ) falaram que só em uma loja para fazer a alteração. Fui na loja e falaram que não era possível fazer sem adquirir um novo chip por 10,00 reais da loja e daí sim era possível colocar o código 047. Ou seja propaganda enganosa! E ainda o atendente veio falar que existe uma lei que o chip é correspondente ao cep que eu peço a entrega e não o que eu cadastrei no site. A correspondência foi para a cada da minha sogra, pois devido a Pandemia estamos em outro estado. Não foi o que eu pedi e não existe o que fala na propaganda que vem no chip. mentira, péssimo atendimento e falta de respeito com o consumidor!"
cancelamento número,"Prezados, tenho dois números cadastrados na Claro. Possuímos a claro Tv e claro móvel, no qual possui 02 números de telefone cadastrados no Cpf do titular 46356328615 - linhas telefônicas 31-997217458 e do adicional meu filho João Caetano 31-997193099.
Meu filho possui este número de telefone 31-997193099 há mais de 10 anos, fazendo portabilidade da operadora Vivo para Tim, Tim para Claro, no qual hoje, sem dúvidas é a pior operadora do mercado. As contas estão em dia, sem atrasos, já pagas e o número adicional 31-997193099 foi cancelado sem motivo aparente e sem informação alguma tanto ao titular quanto a responsável que utiliza a linha citada.
Entramos diversas vezes em contato com operadora claro, no qual na primeira informação informou ao adicional que o número foi cancelado pela operadora Tim Sa.
Logo em seguida , entramos em contato novamente com contato claro através do número de telefone 08007210027 protocolo de atendimento 03201050375574 , 013201050381457, no qual em plena PANDEMIA alegam que não tratam por telefone e que somente o titular da conta PRESENCIALMENTE terá que se deslocar ate alguma loja da claro para entender o ocorrido e uma possível reativação do número. Fui até a loja da claro na data de 05/11/2020 por volta de 12:30, no qual foi aberto mais um protocolo 2020940674487 e fui informado na loja pela Vendedora Alessandra que não era de responsabilidade da Claro e sim da Anatel. Fiz contato na mesma data com a Anatel através do telefone 1331
às 15:40, muito bem atendida pela Virginia, no qual me informou que a responsável pela exclusão do número não foi a Anatel e sim a Operadora Claro, pois eles não possuem alçada para exclusão e sim Operadora. MAIS UMA VEZ tentei contato através da OUVIDORIA da Claro, protocolo 013201050578748 as 15:45, no qual a gravação robô alegou que não teria o que fazer, já que a reclamação na Anatel já havia sido feita. Não sei mais o que fazer. Fui no SAC, OUVIDORIA, LOJA, ANATEL e todos se isentam de culpa e simplesmente não solucionam o problema.
Solicito de IMEDIATO reativação de linhas 31-997193099 pois é uma linha no qual é utilizada comercialmente e existe há mais de 10 anos. Não houve informação alguma e motivo de que seria cancelado e bloqueado. Telefone não recebe e não efetua chamadas há 3 dias e pelo meu ver, sem previsão de retomar.
PROTOCOLO SITE ANATEL 202011045326420
PROTOCOLO LOJA CLARO 2020940674487
PROTOCOLO OUVIDORIA 013201050578748
PROTOCOLOS ATENDIMENTO URA CLARO 03201050375574 E 013201050381457
CONTATO ANATEL VIA TELEFONE - VIRGINIA AS 15:40 TELEFONE 1331"
Baixa de pagamento.,"Preciso dar baixa na parcela de novembro de 2019.
O acordo foi realizado através do serasa."
COBANÇA INDEVIDA APOS SOLICITAÇAO DE CANCELAMENTO,"VENHO ATRAVES DESTA RECLAMAÇAO RELATA CONTRA EMPRESA CLARO TELEFONIA.
RECENTEMENTE ME FOI COBRADO POR PARTE DA CLARO DUAS CONTAS TELEFONICAS AS QUAIS INDEVIDAS.EM 3 NUMEROS MOVEIS , SENDO QUE 1 NUMERO JA FOI REALIZAD PORTBILIDADE DESDE 20 DE AGOSTO,PERIODO ESTE QUE PROCUREI EMPRESA CLARO ( AGOSTO) 04/08/2020 P ACORDO, POIS TINHA EM ABERTO ALGUMAS CONTAS EM ATRASO DE UM CONTRATO, UTILIZANDO NESTE INTERNET, TELEFONE FIXO, E TELEFONIA EM 3 NUMEROS MOVEIS,CONTRATO ESTE Q JA ESTAVA EM FINAL DE CONTRAÇAO EM DATA VIGENTE,APOS O PAGAMENTO CONFIRMADO PELA PRESTADORA,DO ACORDO,( VALOR DE 705,00) FOI REALIZADO PAGAMENTO TOTAL, VALOR ESTE ENVIADO PELO ATENDIMENTO SENDO QUE APOS POIS ME ENVIARAM UM NOVO VALOR P PAGAR DIZENDO SER RESIDUO, ( VALOR DE 160,94) MESMO ASSIM NAO ACEITANDO, PAGUEI O VALOR, E PEDI, SOLICITEI CANCELAMENTO TOTAL DE TODOS ITENS UTILIZADOS,EINCLUSIVE OS NUMEROS MOVEIS, FOI CANCELADO APENAS PELO QUE PERCEBI AGORA APENAS O USO DE TELEFONE FIXO E INTERNET, COMO ??? SE ERAM TUDO UM CONTRATO UNICO?RECLAMEI PELOS PROTOCOLOS /753202754854660/753202822558269/753202826092596/ ME DERAM PRAZOS E NAO ME RETORNARAM,NAO CUMPRIDOS,E AGORA ME PEDIRAM MAIS DIAS P ME RETORNAREM, NAO AGUARDAREI FORAM ERROS E MAIS ERROS, PEÇO O ACOMPNHAMENTO E RESOLUÇAO POIS JA VENCEU AS COBRANÇAS E NAO EFETUEI O PAGAMENTO, POR SER INDEVIDO."
cobrança indevida,"fui contactado pela empresa #claro oferecendo um pacote de telefonia móvel por 69.99 com direito a um adicional 39.90 R$, na primeira fatura já veio com valor divergente 138,00 R$, contatei a #claro passei protocolo da ligação que segundo a mesma não é da aquisição, que foi feito por setor ativo e não tem registro. entrei em contato dia 24/10/20, 30/10/20 por telefone, dia 06/11/20 fui na loja física e nada.
só falta restringir meu cpf !
#claro esse novo eu não quero."
Cobrança indevida Claro Fixo,"Me deparei com uma dívida da empresa Claro Fixo no site do Serasa, em meu CPF. Fui ver e consta como uma dívida de 2010, que nunca esteve no site do Serasa, nem nunca existiu, pois nunca tive telefone fixo da empresa Claro. Entrei em contato por telefone e a atendente não soube encontrar dívida ligada ao meu CPF nem ao código que consta no site do Serasa. Como uma empresa me aparece com uma dívida de 10 anos que nunca foi sequer cobrada, sendo que nunca possuí telefone da Claro, e nem eles sabem me dizer que dívida é essa, mas estão me cobrando?"
"Portabilidade, meu cadastro sumiu","Há alguns dias, pedi a portabilidade do meu fixo da Claro para a Tim.
O pedido foi cancelado.
O numero não foi portado e agora, não acho meu cadastro na Tim.
Os atendentes dizem que não tenho nenhuma assinatura em meu cpf.
E agora? Perdi o numero do meu fixo?"
COBRANÇA INDEVIDA,"Entrei no aplicativo do serasa e lá consta uma divida minha 155 reais e um acordo para quitar a mesma. Consta conta em atraso, porém minha conta foi cancelada pela própria claro, e voltei a usar o pre pago da mesma, e depois de meses eles me aprontam essa. Como devo fazer, a quem devo recorrer nesses casos. Detalhe, isso esta prejudicando minha avaliação, já que não possuo dívidas."
Atendimento,"Loja Claro do Shopping Jardim Sul. Fiquei mais de 25 minutos aguardando atendimento e com 2 funcionários (atendentes desocupados). 2 atendentes estavam dando atendimento e outros 2 desocupados.
Um rapaz da minha frente já havia ido embora (acredito que pela demora) e eu também acabei desistindo.
Desculpe a palavra, mais estou com nojo do atendimento, não prestado, pois nem cheguei a ser atendido. Os atendentes nem sequer pediu pra aguardar. Nada, literalmente nada."
Cobrança indevida,"Estou sendo cobrada de uma dívida de 2012, porém não reconheço esta dívida. Espero ter retorno, caso contrário terei que rever judicialmente."
Cobrança indevida,"Fui abrir o App do Serasa onde consta uma fatura da Claro TV em meu CPF. Fiquei 1hra tentando falar para resolver o meu problema, foi quando enfim, falei com uma atendente que me informou que não tenho nenhum contrato ativo na operadora, apenas um contrato cancelado num endereço que nunca morei, porém, sem nenhuma fatura em aberto. Eu gostaria de a dívida que colocaram em meu CPF seja retirada. Pois nunca tive plano de TV com a mesma. Grata"
Cobrança para mudança de endereço,"A Claro/NET me cobrou R$90,00 por uma simples mudança de endereço. A atendente me informou da cobrança porém no momento não tive escolha e tive que aceitar, mas não acho justo essa cobrança. Quero que a empresa me isente dessa cobrança, diversas empresas tem oferecido o mesmo serviço sem cobrança de instalação."
Consumo de recarga sem usar,"Eu fiz a portabilidade da Tim pra Claro
Motivo eu fiz uma recarga de 20 reais e os crédito sumirão sem ter usado
E não me serão suporte nem conseguia falar com a tendente
Tá acontecendo a mesma coisa
Fiz a recarga de 20 reais fiz apenas uma ligação meu s crédito hoje é de 6.06 e não sei o porquê já desativei dados móveis o 4g pra 3g e continua consumindo meus créditos não sei mais oque fazer já tô ficando sem graça de ficar ligando quase todo dia obridaga boa noite"
Não consigo cancelar,"Ligo para cancelar, fico na espera quando me atendem a ligação sempre cai quando assunto e referente a cancelamento."
mal atendimento e informação,"Hoje dia 09/11/2020 entrei em contato via chat para esclarecer uma duvida no qual gerou o numero de protocolo 2020953485375 atendente Natalino gregorio, onde não me esclareceu nada, pois o que ocorre é um indungencia, o meu plano Atual ele se encerra todo dia 22 e renova dia 23 de cada mês, porem a minha carencia é até dia 26.
Minha pergunta foi que gostaria de mudar de plano e nao gostaria que tivesse proporcional e muito menos a multa.
e como fazer ja que o plano se renova tido dia 23 e minha carencia vence dia 26/11/2020.
Por que se eu decido troca de plano dia 26 para nao pagar multa, pagarei proporcional pelo 3 dias, agora se eu trocar de plano dia 22 para não pagar proporcional, pagarei a multa por ser antes do dia 26.
Fui mal atendido, nao esclareceu o que posso fazer , sendo apenas quero fazer de uma forma correta .. pois nao quero e nao vou pagar por algo que esta errado. Sem contar que esta induzindo o cliente a pagar...sem falar outra coisa. Onde o atendente nao esclareceu minha duvida e assim encerrou o chat
Estou no aguardo de esclarecimentos e de informações e um atendimento decente
Obrigado"
Demora no atendimento,"Liguei para 1052, para reclamar que uma das minhas 3 linhas está sem internet.

Fiquei na data de hoje 21 minitos, escutando mensagem e musiquinha. Desliguei sem atendimento.

Eu, sugiro ninguém comprar telefonia móvel, desta empresinha desrespeitosa."
COBRANÇA ABUSIVA,"Em setembro de 2020 contratei internet para casa com valor de 70 reais , logo aí já começou o problema pois fizeram dois contratos meus 1 para um endereço que eu nem conheço e tive cancelar, chegou em outubro a fatura já veio no valor de R$110,00 mesmo assim eu paguei, agora em novembro estão cobrando R$145,00 , acho isso um ABUSO com consumidor pois vc tem contrato se programa daquilo que vc tem pra pagar e eles não seguem com contrato e ficam alterando valores sem comunicar cliente, realmente um serviço inutil da empresa ! Oque foi contratado já está o dobro do valor em menos de 1 mês e não quero seguir com a empresa."
CLARO coloca meu nome no SPC sem MOTIVO alguem! FALTA DE EDUCAÇÃO COM OS CLIENTES!,"Hoje no dia 09/11/2020, a claro colocou meu nome no spc serasa SEM MOTIVO ALGUM, isso é uma falta de incopetencia da empresa fazer isso, o valor da divida se encotra em R$ 49,99, em um contrato 131813523 numa data de 08/05/2020, certo que desconheço essa divida, fora que sempre usei um plano semanal sem que afetasse meu nome nos birôs de creditos, desconheço essa divida, a data da divida tambem desconheço, isso esta me causando estresse, pois é a 3 que eles fazem isso, pesso que resolvam isso o mais rapido possivel, meu nome é importante pra mim, espero que retirem esse acordo que se encontra em meu nome, pois isso é sem nexo algum uma falta de educação com seu cliente, se não resolverem logo, processarei a empresa, poiscomo dito acima, é a 3 vez que fazem isso, se não resolverem tirar essa pendencia em meu nome, sem nexo algum, procurarei meus direitos."
cobrança indevida claro,"estamos a mas de 1 ano tentando provar que nao habilitamos a linha telefonica , a cada 3 meses a empresa claro manda mensagem falando que estamos devendo, ai ligamos e uma boroclaria emensa para explicar para os seus atendentes, o ocorrido e com isso uns fala que não estão mas com eles e ficam nesse joga joga e ninguem consegue resolver nada.
abrimos varios protocolos e contestação sobre isso e a empresa não consegue resolver.

ai eles peden para ligar nos numeros 3003-8080 ou no 0800280-8080 ai pede para digitar o numero da linha ou cpf e não conseguimos entrar em contato."
Fiz o cancelamento e não foi cancelado!,"Liguei faz um mês para cancelar minha linha telefônica, pois o valor estava sendo cobrado muito mais do que foi contratado , e como não estava usando a internet do celular pois tenho o combo claro Net em casa, quis cancelar somente a linha e ficar com o número para fazer recarga somente, a moça atendente disse q havia cancelado e que seria cobrado só o proporcional aos dias, pois me enganaram não cancelaram nada e ainda aumentaram o valor total do plano desde o móvel até a internet e tv de casa, terei que ir no procon pq a claro não é uma empresa de palavra!"
Contratei 7G + 6GB Aviso de Dados com 2 GB,"A minha linha faz parte de um plano corporativo e já tentei de tudo para resolver esse problema (meu assessor da Claro tentou resolver, eu liguei na Claro 3 vezes) e ninguém achou uma solução. Conforme figuras em anexo, meu celular final 95 tem direito a 7Gb de Internet e mais 6GB, mas no começo do mês quando o celular ultrapassa 2GB já começo a receber o aviso de dados. Liguei na Claro para verificar se é alguma configuração, problema etc e ninguém achou uma solução."
Não consigo ativar o chip,"Na data de 06/11/2020 comprei um chip da claro, até a presente data não consegui ativar o chip, uma gravação pede para responder um quiz que foi enviado para o meu celular, só que eu nunca recebi esse quiz, solicito da empresa claro o estorno do chip com crédito que eu adquiri e não consigo usar."
Claro me cobrando um serviço que nunca tive em meu nome e nunca solicitei,"consta no site serasa consumidor que tenho uma divida de tv por assinatura da Claro TV e que não paguei uma mensalidade, mas eu nunca tive esse tipo de serviço da Claro TV em meu nome em nenhum momento da minha vida

Claro TV
Número do contrato:
02100010763239
Data da dívida:
15/05/2011
Valor original da dívida:
R$ 41,59
Valor atual da dívida:
R$ 41,59
gostaria que a empresa retirasse essa cobrança do sistema deles, visto que nunca contratei deles esse serviço."
Dívida indevida,"Boa tarde, tenho uma dívida indevida da claro na qual estou com o nome sujo no SPC/SERASA, fui descobrir somente após tentar fazer um cartão e constar restrição, nunca tive nada com a claro, liguei pra todos os números possíveis pra falar com eles sobre isso e nada, até que me retornaram me oferecendo os serviços da claro e comuniquei que a única coisa que gostaria é que retirassem a dívida indevida, de onde eu nem sabia que havia saído, me informaram que iriam abrir um chamado e no meio a ligação caiu, não me retornaram mais após isso, a dívida havia sido retirada do SPC/SERASA até hoje eu ver que novamente está constando, não vou pagar algo que não usei e muito menos pedi por isso, então eles retiram a dívida ou terei que recorrer aos meus direitos!"
Internet fixa com quedas constantes e cobrança indevida,"Há dias minha internet fixa da Claro/NET está caindo e fica sem sinal por horas, o que faz com que eu precise constantemente comprar pacotes de internet móvel pro meu celular para suprir a falta (o que, por si só, já é absurdo, pois pago por algo que não consigo usar e tenho que pagar mais ainda em novos pacotes). Na madrugada do dia 06 de novembro, após um bom tempo sem wifi, decidi colocar R$25,00 de crédito no meu celular para poder comprar um pacote de internet, pois não podia ficar mais tempo sem, mas não obtive sucesso. Recebi SMS comunicando falha de processamento e que nenhum valor havia sido cobrado. Tentei novamente, e recebi a mesma mensagem. Para a minha surpresa, quando a internet voltou, verifiquei que havia sido cobrada SIM, consta na minha fatura o valor. Assim, fui comprar um pacote de internet, mas novamente me surpreendi, pois consta que não tenho crédito algum. Estou até hoje sem créditos, e com o valor na minha fatura. Tentei contato via twitter, mas até agora a solicitação não foi resolvida. Desejo o REEMBOLSO imediato desse valor, diante da informação de que eu não seria cobrada (segue imagem anexa) e manifesto que estou extremamente decepcionada com a operadora diante das falhas constantes em seus serviços, dos quais sou usuária há anos. Favor entrar em contato preferencialmente via email."
Propaganda enganosa,"Após receber vários convites, resolvi aderir ao plano de internet no Combo Multi 30GB+30GB+10GB POR R$ 89,90 por 12 meses em meu numero 81994802374 no dia 28/10/2020! No dia 30/10/2020 recebi a confirmação da aceitação do nosso plano! No dia 02/11/2020 encontrei ""jogado no chão do meu quintal"" 02 chips da operadora, num pacote que mandava ligar para o numero 08007236626 para desbloquear os chips! Ao ligar sou informado que o sistema reconhece meu plano Combo Multi e logo em seguida sou informado que não faço parte do plano Combo Multi! Entrei em contato com o 10621 no mesmo dia e abri uma reclamação n 136203355636249, o qual nunca foi respondido! Solicito providências urgentes, pois por causa dessa negociação estamos perdendo outras promoções da concorrência!!!!!"
A Claro promete cancelar o meu plano da Vivo ao fazer a migração,"Essa foi a reclamação que eu fiz na Claro e reposta deles :

Boa tarde. Cerca de um mês atrás mudei a minha internet fixa de Vivo Para a Claro. Na ocasião o representante de vcs me disse que eu não precisaria cancelar a Vivo pois isto seria feito por vcs. Este mês recebo a fatura da Vivo, entrei em contato e me confirmaram d que não houve cancelamento algum. Por favor regularem a situação com a Vivo pois essa fatura der novembro é indevida mas só vcs podem resolver. Tive que entrar em comtato com o seu atendimento telefonico que é péssimo. Paasei quase 10min na URA até conseguir falar com um antendente que não conseguiu fibalizar o atendimento pois a linha caiu. Liguei de novo, mas um tempão até conseguir falar com alguém,. Atendente me fez repetir a história umas 3 ou 4 vezes e insistia em falar do meu celular quando deixei claro que não era esse o problema. Eu gostaria muito de fazer uma reclamação sobre o atendimento dela. Tentei o atendimento da ouvidoria pelo Sute que também não funciona, não consigo nem logar. Tentei também pelo whatsapp mas não tem a menor condição de um atendimento desses. Hoje entrei em contato com a ouvidoria pelo telefone e não pude ser atendida pois não tenho protocolo doas atendimentos que ocorreram no sábado através do 11982093035 entre 14h e 15h. Já estou informando os dados da ligação para que vcs possa recupera-la. Não tenho a data exata de quando eu tive o primeiro contato, quando eu migrei para a claro. Vocês precisam muito melhorar o seu atendimento !!!

A resposta :
LUCAS VINICIUS FERNANDES PIMENTEL

Atendimento Claro

Não responda a este e-mail. Esta é uma mensagem gerada automaticamente. Para entrar em contato conosco, acesse novamente o nosso site, clique aqui . Você sabia que através do App Minha Claro Residencial é possível solicitar a 2 via da fatura, alterar a senha do WI-FI e agendar visita técnica? Baixe agora mesmo o App através das lojas App Store ou Google Play Store

Ou seja, o consumidor que se lasque, falamos mesmo o que queremos para fechar um contrato e depois mandamos um ""se vira com a Vivo"" pra vc"
